10000	897
20000	2902
30000	5918
40000	9848
50000	14901
60000	20893
70000	27900
80000	35906
90000	44873
100000	54905
110000	65913
120000	77924
130000	90924
140000	104901
150000	119924
160000	130904 
170000	142921
180000	150908
190000	161934
200000	172030

